time: 26.05.2026 13:39:14 | game_id: 7 | fen: rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
time: 26.05.2026 13:39:14 | game_id: 7 | fen: rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
time: 26.05.2026 13:39:13 | game_id: 7 | fen: rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
time: 26.05.2026 13:39:13 | game_id: 7 | fen: rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
time: 26.05.2026 13:39:13 | game_id: 7 | fen: rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
time: 26.05.2026 13:39:13 | game_id: 7 | fen: rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
time: 26.05.2026 13:39:13 | game_id: 7 | fen: rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
time: 26.05.2026 13:39:12 | game_id: 7 | fen: rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
time: 25.05.2026 11:17:40 | game_id: 6 | fen: rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3 0 2
time: 25.05.2026 11:17:36 | game_id: 6 | fen: rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3 0 2
time: 11.05.2026 12:02:55 | game_id: 5 | fen: rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3 0 2
time: 11.05.2026 12:02:52 | game_id: 5 | fen: rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3 0 2
time: 11.05.2026 12:02:48 | game_id: 5 | fen: rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3 0 2
time: 11.05.2026 12:01:50 | game_id: 4 | fen: 8/8/8/8/8/8/8/8 w - - 0 1
time: 10.05.2026 20:08:34 | game_id: 3 | fen: rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3 0 2
time: 10.05.2026 20:08:31 | game_id: 3 | fen: rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3 0 2
time: 10.05.2026 20:08:27 | game_id: 3 | fen: rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3 0 2
time: 10.05.2026 20:08:23 | game_id: 3 | fen: rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3 0 2
time: 18.04.2026 05:57:56 | game_id: 2 | fen: None
